City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
373,Bud,US,75.33,moderate rain,39.447,-86.1758,Ted McQuinn Trust
374,Palmer,US,84.25,few clouds,42.1584,-72.3287,Wedgewood Motel
375,Sept-Iles,CA,68.52,broken clouds,50.2001,-66.3821,Comfort Inn
378,Marawi,PH,68.85,light rain,7.9986,124.2928,Derogongan Residence
379,Warri,NG,84.65,broken clouds,5.5167,5.75,GT Guesthouse
380,Tongzi,CN,76.59,overcast clouds,28.7829,105.0877,Jiayuan Hotel
381,Nazca,PE,70.14,clear sky,-14.8333,-74.95,Casa Andina Standard Nasca
382,Belyy Yar,RU,69.69,light rain,53.6039,91.3903,Pasportnyy Stol
384,Westport,US,83.28,clear sky,41.1415,-73.3579,The Westport Inn
385,Biak,ID,75.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
386,Wuwei,CN,66.63,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
388,Garden City,US,76.37,overcast clouds,42.3256,-83.331,Big Trees Mobile Home Community
389,Aljezur,PT,77.97,scattered clouds,37.3191,-8.8033,Amazigh Hostel
390,Guane,CU,87.17,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
391,Alice Town,BS,83.59,moderate rain,25.7167,-79.3,Bimini Big Game Club Resort & Marina
393,Casas Grandes,MX,74.44,clear sky,30.3667,-107.95,Pueblo del Soul B&B
394,Stornoway,GB,64.04,broken clouds,58.2093,-6.3865,Caladh Inn
395,Gasa,PS,86.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
396,Mangai,CD,85.35,overcast clouds,-4.05,19.5333,
397,Kieta,PG,78.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
398,Denham Springs,US,87.89,broken clouds,30.4869,-90.9562,"Candlewood Suites Denham Springs, an IHG Hotel"
400,Huarmey,PE,64.83,few clouds,-10.0681,-78.1522,Hotel Miramar
401,Mana,GF,81.55,broken clouds,5.6592,-53.7767,LE SAMANA
402,Puerto Escondido,MX,76.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
403,Ler,SS,82.76,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
404,Ciudad Bolivar,VE,86.85,scattered clouds,8.1222,-63.5497,Hotel Edi
405,Tremosnice,CZ,74.14,clear sky,49.8691,15.58,Ubytování Zbyslavec
406,Khash,IR,91.98,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
407,Koindu,GN,77.4,light rain,8.4386,-10.3253,
409,Shizunai,JP,65.73,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
410,Nabire,ID,74.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
411,Hasaki,JP,77.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
412,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
414,Enshi,CN,77.11,overcast clouds,30.3,109.4833,Moevenpick Enshi
417,Camana,PE,62.53,scattered clouds,-16.6228,-72.7111,Hostal Morales
418,Saint-Pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
419,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
420,Nagai,JP,68.14,few clouds,38.1036,140.035,土田旅館
421,Kruisfontein,ZA,79.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
422,Kutum,SD,88.2,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
424,Letterkenny,IE,78.69,overcast clouds,54.95,-7.7333,Mount Errigal Hotel
425,Saint-Paul,RE,71.37,scattered clouds,-21.0096,55.2707,Boucan Canot
426,Xam Nua,LA,72.73,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
428,Shingu,JP,75.06,overcast clouds,33.7333,135.9833,Shingu UI Hotel
429,Sedalia,US,75.43,overcast clouds,38.7045,-93.2283,Best Western State Fair Inn
431,Lidkoping,SE,68.41,broken clouds,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
432,Dharur,IN,76.46,overcast clouds,18.8167,76.1167,Hotel Rajmahal
433,Vao,NC,70.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
435,Gannan,CN,66.4,overcast clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
441,Dicabisagan,PH,80.04,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
442,Saint-Andre-Les-Vergers,FR,87.84,clear sky,48.2853,4.0521,Le Royal
443,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
444,Loveland,US,84.45,clear sky,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
445,Salvador,SV,79.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
446,Menongue,AO,77.36,clear sky,-14.6585,17.691,Ritz Lauca
448,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
449,Jaciara,BR,85.57,clear sky,-15.9653,-54.9683,Taba Hotel
450,Nagamangala,IN,71.85,moderate rain,12.8156,76.7575,Bettadamallenahalli
451,Senneterre,CA,75.25,overcast clouds,48.3835,-77.2328,Motel Senabi
452,Mizdah,LY,95.83,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
453,Yoichi,JP,65.79,overcast clouds,43.2039,140.7703,Marumatta Farm 21
454,Tual,ID,78.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
456,Ushtobe,KZ,91.49,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
457,Owando,CG,92.14,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
458,Baglan,AF,94.75,clear sky,36.1307,68.7083,Habibullah MOsazai
461,Bucerias,MX,78.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
462,Bastrop,US,87.69,few clouds,32.7562,-91.8724,Best Budget Inn
463,Oran,DZ,83.91,few clouds,35.6911,-0.6417,The Adress Residence SM
465,Hailar,CN,64.18,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
466,Maua,BR,80.4,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
467,Palmas,BR,87.67,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
469,Bolivar,US,83.14,overcast clouds,37.6145,-93.4105,Comfort Inn Bolivar
470,Pierre,US,70.72,few clouds,44.3683,-100.351,Ramkota Hotel
471,Hattiesburg,US,85.64,clear sky,31.3271,-89.2903,Quality Inn & Suites
472,Swift Current,CA,76.01,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
473,Ewa Beach,US,78.75,scattered clouds,21.3156,-158.0072,Base Lodging
475,Tahlequah,US,89.04,overcast clouds,35.9154,-94.97,Oak Hill Inn and Suites
477,Bluefield,US,78.37,clear sky,37.2698,-81.2223,Economy Inn
479,Itoman,JP,83.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
